"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\document\project\finale\erp-backend\src\models\WorkOrder.js", "JavaScript", 145, 10, 11, 166
"d:\document\project\finale\erp-backend\src\models\index.js", "JavaScript", 150, 19, 32, 201
"d:\document\project\finale\erp-backend\src\routes\api.js", "JavaScript", 6, 0, 2, 8
"d:\document\project\finale\erp-backend\src\routes\auth.js", "JavaScript", 7, 0, 2, 9
"d:\document\project\finale\erp-backend\src\routes\bomRoutes.js", "JavaScript", 9, 6, 5, 20
"d:\document\project\finale\erp-backend\src\routes\index.js", "JavaScript", 33, 5, 3, 41
"d:\document\project\finale\erp-backend\src\routes\inventoryRoutes.js", "JavaScript", 9, 3, 3, 15
"d:\document\project\finale\erp-backend\src\routes\inventoryTransactionRoutes.js", "JavaScript", 10, 3, 2, 15
"d:\document\project\finale\erp-backend\src\routes\manufacturingCostRoutes.js", "JavaScript", 6, 4, 3, 13
"d:\document\project\finale\erp-backend\src\routes\manufacturingLogRoutes.js", "JavaScript", 6, 4, 3, 13
"d:\document\project\finale\erp-backend\src\routes\manufacturingOrderDetailRoutes.js", "JavaScript", 12, 2, 1, 15
"d:\document\project\finale\erp-backend\src\routes\manufacturingOrderRoutes.js", "JavaScript", 9, 6, 5, 20
"d:\document\project\finale\erp-backend\src\routes\manufacturingPlanRoutes.js", "JavaScript", 8, 6, 5, 19
"d:\document\project\finale\erp-backend\src\routes\materialRequirementRoutes.js", "JavaScript", 7, 5, 4, 16
"d:\document\project\finale\erp-backend\src\routes\materialRoutes.js", "JavaScript", 9, 7, 7, 23
"d:\document\project\finale\erp-backend\src\routes\materialStatusRoutes.js", "JavaScript", 23, 7, 8, 38
"d:\document\project\finale\erp-backend\src\routes\productRoutes.js", "JavaScript", 9, 7, 6, 22
"d:\document\project\finale\erp-backend\src\routes\semiFinishedProductRoutes.js", "JavaScript", 9, 7, 6, 22
"d:\document\project\finale\erp-backend\src\routes\userRoutes.js", "JavaScript", 9, 8, 6, 23
"d:\document\project\finale\erp-backend\src\routes\users.js", "JavaScript", 17, 3, 4, 24
"d:\document\project\finale\erp-backend\src\routes\warehouseRoutes.js", "JavaScript", 9, 7, 6, 22
"d:\document\project\finale\erp-backend\src\routes\workOrderRoutes.js", "JavaScript", 15, 4, 5, 24
"d:\document\project\finale\erp-backend\src\services\BomService.js", "JavaScript", 206, 15, 32, 253
"d:\document\project\finale\erp-backend\src\services\InventoryService.js", "JavaScript", 305, 9, 47, 361
"Total", "-", 6169, 514, 880, 7563
